id,name,price,category
1,Apple iPhone 11 (64GB),"49,900",apple
3,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",redmi
5,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera ,"11,499",redmi
6,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",redmi
7,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) ","12,990",oppo
8,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) ","7,299",realme
9,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
10,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",redmi
11,"Samsung Galaxy M21 2021 Edition (Charcoal black , 6GB RAM, 128GB Storage) | FHD+ sAMOLED | ","14,999",samsung
12,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",samsung
13,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) ","13,499",samsung
14,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) ","7,299",realme
15,"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage) ","16,999",samsung
16,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) ","12,990",oppo
17,"Apple iPhone XR, 64GB, Red - Fully Unlocked (128GB Storage)","29,999",apple
18,"realme C11 (2021) (Cool Blue, 4GB RAM+64GB Storage) ","8,799",realme
19,"Samsung Galaxy M21 2021 Edition (Arctic Blue, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | ","12,999",samsung
20,"Nokia G20 Smartphone, Dual SIM 4G, 4GB RAM/64GB Storage, 48MP Quad Camera with 6.5” (16.51 cm) Screen | Silver","12,990",nokia
21,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)","50,999",samsung
22,"Samsung Galaxy M12 (White,6GB RAM, 128GB Storage) ","13,499",samsung
23,Apple iPhone 11 (64GB) ,"49,900",apple
24,Apple iPhone 12 Mini (64GB) - Black,"56,999",apple
25,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",redmi
26,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
27,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera ,"11,499",redmi
28,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",redmi
29,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) ","12,990",oppo
30,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) ","7,299",realme
31,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
32,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",redmi
33,"Samsung Galaxy M21 2021 Edition (Charcoal black , 6GB RAM, 128GB Storage) | FHD+ sAMOLED | ","14,999",samsung
34,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",samsung
35,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) ","13,499",samsung
36,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) ","7,299",realme
37,"realme C11 (2021) (Cool Blue, 4GB RAM+64GB Storage) ","8,799",realme
38,"Samsung Galaxy A22 (128GB, 4GB) 6.4 inch, Android 11","9,499",samsung
39,"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","10,499",redmi
40,"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
41,"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor ","13,499",redmi
42,"Nokia G20 Smartphone, Dual SIM 4G, 4GB RAM/64GB Storage, 48MP Quad Camera with 6.5” (16.51 cm) Screen | Silver","12,990",nokia
43,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)","50,999",samsung
44,"Samsung Galaxy M12 (White,6GB RAM, 128GB Storage) ","13,499",samsung
45,Apple iPhone 11 (64GB) ,"49,900",apple
46,Apple iPhone 12 Mini (64GB) - Black,"56,999",apple
47,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",redmi
48,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
49,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera ,"11,499",redmi
50,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",redmi
51,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) ","12,990",oppo
52,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) ","7,299",realme
53,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
54,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",redmi
55,"Samsung Galaxy M21 2021 Edition (Charcoal black , 6GB RAM, 128GB Storage) | FHD+ sAMOLED | ","14,999",samsung
56,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",samsung
57,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) ","13,499",samsung
58,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) ","7,299",realme
59,"realme C11 (2021) (Cool Blue, 4GB RAM+64GB Storage) ","8,799",realme
60,"Tecno Spark 7T(Jewel Blue, 4GB RAM, 64GB Storage) 6000 mAh Battery| 48 MP AI Dual Rear Camera","9,499",tecno
61,"Redmi 9 Prime (Sunrise Flare, 4GB RAM, 64GB Storage)- Full HD+ Display & AI Quad Camera","10,499",redmi
62,"Redmi 9 (Sporty Orange, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
63,"Redmi 9 Power (Mighty Black, 6GB RAM, 128GB Storage) - 6000mAh Battery |FHD+ Screen| 48MP Quad Camera | Snapdragon 662 Processor ","13,499",redmi
64,"Nokia G20 Smartphone, Dual SIM 4G, 4GB RAM/64GB Storage, 48MP Quad Camera with 6.5” (16.51 cm) Screen | Silver","12,990",nokia
65,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)","50,999",samsung
66,"Samsung Galaxy M12 (White,6GB RAM, 128GB Storage) ","13,499",samsung
67,Apple iPhone 11 (64GB) ,"49,900",apple
68,Apple iPhone 12 Mini (64GB) - Black,"56,999",apple
69,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",redmi
70,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
71,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera ,"11,499",redmi
72,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",redmi
73,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) ","12,990",oppo
74,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) ","7,299",realme
75,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
76,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",redmi
77,"Samsung Galaxy A12 (White, 6GB RAM, 128GB Storage) ","16,499",samsung
78,"Samsung Galaxy M21 2021 Edition (Charcoal black , 6GB RAM, 128GB Storage) | FHD+ sAMOLED | ","14,999",samsung
79,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",samsung
80,"Redmi Note 10 (Aqua Green, 4GB RAM, 64GB Storage) -Amoled Dot Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","13,999",redmi
81,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) ","13,499",samsung
82,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) ","7,299",realme
83,"Samsung Galaxy M31 (Ocean Blue, 8GB RAM, 128GB Storage) ","16,999",samsung
84,"OPPO A31 (Mystery Black, 6GB RAM, 128GB Storage) ","12,990",oppo
85,"OnePlus Nord 2 5G (Gray Sierra, 8GB RAM, 128GB Storage)","29,999",oneplus
86,"realme C11 (2021) (Cool Blue, 4GB RAM+64GB Storage) ","8,799",realme
87,"Nokia G20 Smartphone, Dual SIM 4G, 4GB RAM/64GB Storage, 48MP Quad Camera with 6.5” (16.51 cm) Screen | Silver","12,990",nokia
88,"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage)","50,999",samsung
89,"Redmi 9A (Nature Green, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery","6,999",redmi
90,"Redmi 9 (Sky Blue, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
91,Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera ,"11,499",redmi
92,"Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-Core Helio G25 Processor","6,999",redmi
93,"OPPO A31 (Fantasy White, 6GB RAM, 128GB Storage) ","12,990",oppo
94,"realme C11 (2021) (Cool Blue, 2GB RAM, 32GB Storage) ","7,299",realme
95,"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 2.3GHz Mediatek Helio G35 Octa core Processor","9,499",redmi
96,Redmi 9A (Sea Blue 2GB RAM 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery,"6,999",redmi
97,"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",samsung
98,"Redmi Note 10 (Aqua Green, 4GB RAM, 64GB Storage) -Amoled Dot Display | 48MP Sony Sensor IMX582 | Snapdragon 678 Processor","13,999",redmi
99,"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) ","13,499",samsung
100,"realme C11 (2021) (Cool Grey, 2GB RAM, 32GB Storage) ","7,299",realme
111,Apple iphone 6 16GB Storage,"7,000",apple
112,"Samsung S12 4GB RA, 256GB Storage","1,000",samsung
